Movie title                                          ,Year,IMDb rating
Disaster Movie                                       ,2008,2.1
Manos: The Hands of Fate                             ,1966,2.2
Superbabies: Baby Geniuses 2                         ,2004,2.3
Birdemic: Shock and Terror                           ,2010,2.3
The Hottie & the Nottie                              ,2008,2.4
House of the Dead                                    ,2003,2.5
Son of the Mask                                      ,2005,2.5
Saving Christmas                                     ,2014,2.5
Epic Movie                                           ,2007,2.5
Battlefield Earth                                    ,2000,2.6
Pledge This!                                         ,2006,2.7
Alone in the Dark                                    ,2005,2.7
Radhe                                                ,2021,2.7
Dragonball Evolution                                 ,2009,2.8
From Justin to Kelly                                 ,2003,2.8
Meet the Spartans                                    ,2008,2.9
Going Overboard                                      ,1989,2.9
D�nyayi Kurtaran Adam'in Oglu                        ,2006,2.9
Gigli                                                ,2003,2.9
Race 3                                               ,2018,2.9
Foodfight!                                           ,2012,2.9
Date Movie                                           ,2006,3.0
Cats                                                 ,2019,3.0
Baby Geniuses                                        ,1999,3.0
Glitter                                              ,2001,3.0
Daniel der Zauberer                                  ,2004,3.1
Jaws: The Revenge                                    ,1987,3.2
Troll 2                                              ,1990,3.2
BloodRayne                                           ,2005,3.2
Hobgoblins                                           ,1988,3.2
The Human Centipede III (Final Sequence)             ,2015,3.3
Left Behind                                          ,2014,3.3
Cosmic Sin                                           ,2021,3.3
365 dni                                              ,2020,3.4
Who's Your Caddy?                                    ,2007,3.4
Jack and Jill                                        ,2011,3.4
Rollerball                                           ,2002,3.4
Catwoman                                             ,2004,3.5
Kazaam                                               ,1996,3.5
Santa Claus Conquers the Martians                    ,1964,3.5
Slender Man                                          ,2018,3.5
365 Days: This Day                                   ,2022,3.5
Enes Batur Hayal mi Ger�ek mi?                       ,2018,3.5
The Emoji Movie                                      ,2017,3.5
Vampires Suck                                        ,2010,3.5
Elk*rtuk                                             ,2021,3.6
Steel                                                ,1997,3.6
The Starving Games                                   ,2013,3.6
The Open House                                       ,2018,3.6
Scary Movie 5                                        ,2013,3.6
Dumb and Dumberer: When Harry Met Lloyd              ,2003,3.6
Tees Maar Khan                                       ,2010,3.6
The Return of the Texas Chainsaw Massacre            ,1994,3.6
The Room                                             ,2003,3.6
Gunday                                               ,2014,3.7
Bratz                                                ,2007,3.7
The Master of Disguise                               ,2002,3.7
Student of the Year 2                                ,2019,3.7
Police Academy: Mission to Moscow                    ,1994,3.7
Daddy Day Camp                                       ,2007,3.7
Laxmii                                               ,2020,3.7
Hercules in New York                                 ,1970,3.7
Barb Wire                                            ,1996,3.7
Far Cry                                              ,2008,3.7
Breach                                               ,2020,3.7
Mortal Kombat: Annihilation                          ,1997,3.7
3 Ninjas: High Noon at Mega Mountain                 ,1998,3.8
Feardotcom                                           ,2002,3.8
Batman & Robin                                       ,1997,3.8
Crossroads                                           ,2002,3.8
Spice World                                          ,1997,3.8
Fifty Shades of Black                                ,2016,3.8
Die unendliche Geschichte III: Rettung aus Phantasien,1994,3.8
Spy Kids 4: All the Time in the World                ,2011,3.8
Jaws 3-D                                             ,1983,3.8
Superman IV: The Quest for Peace                     ,1987,3.8
Captain America                                      ,1990,3.8
Black Christmas                                      ,2019,3.8
The Wicker Man                                       ,2006,3.9
The Adventures of Sharkboy and Lavagirl 3-D          ,2005,3.9
The Fog                                              ,2005,3.9
Mac and Me                                           ,1988,3.9
Dungeons & Dragons                                   ,2000,3.9
D-War                                                ,2007,3.9
Bucky Larson: Born to Be a Star                      ,2011,3.9
Smolensk                                             ,2016,3.9
I Know Who Killed Me                                 ,2007,3.9
Piranha 3DD                                          ,2012,3.9
Baaghi 3                                             ,2020,3.9
The Love Guru                                        ,2008,3.9
In the Name of the King: A Dungeon Siege Tale        ,2007,3.9
The Flintstones in Viva Rock Vegas                   ,2000,3.9
The Avengers                                         ,1998,4.0
The Hungover Games                                   ,2014,4.0
Street Fighter: The Legend of Chun-Li                ,2009,4.0
Stan Helsing                                         ,2009,4.0
Speed 2: Cruise Control                              ,1997,4.0
The Human Centipede II (Full Sequence)               ,2011,4.0
Ballistic: Ecks vs. Sever                            ,2002,4.0
Teen Wolf Too                                        ,1987,4.0
